"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Homework","Test1","Test2","Quiz","Lab","Overall","Grade"
"48",95,100,100,90,95,99,97,80,100,12,100,94.4444444444444,90,95,70.4,83.25,97,85.3658536585366,91.2790697674419,96.4814814814815,100,93.46516039579,"A+"
"49",100,100,97.5,100,100,95,100,100,60,12,95.8333333333333,61.1111111111111,75,70,55.2,69.3,99.0625,62.1951219512195,73.2558139534884,80.2777777777778,100,82.5133945452827,"B-"
"50",67.5,100,100,90,95,90,100,90,100,12,100,77.7777777777778,70,100,71.2,83.7,95.625,86.5853658536585,91.8604651162791,92.5925925925926,100,92.8585783386904,"A"
"51",92.5,85,92.5,100,100,93,91,90,75,12,95.8333333333333,83.3333333333333,75,70,66.4,80.1,93,79.2682926829269,87.2093023255814,84.7222222222222,100,88.2643174513141,"B"
"52",80,85,92.5,0,95,66,80.5,67.5,100,12,66.6666666666667,88.8888888888889,85,80,49.6,62.55,83.3125,53.6585365853659,64.5348837209302,84.6296296296296,100,74.5536226917502,"B"
"53",0,77.5,100,80,100,90,80,0,65,12,87.5,94.4444444444444,75,85,34.4,69.3,84.6428571428571,30.4878048780488,73.2558139534884,88.9814814814815,100,73.1515938290612,"A-"
"54",92.5,95,85,100,100,99,89,100,100,12,91.6666666666667,100,75,100,67.2,70.2,96.9375,80.4878048780488,74.4186046511628,97.2222222222222,100,88.3667954717338,"A+"
"55",90,95,100,100,100,99,100,80,85,12,100,100,75,100,71.2,76.5,96.125,86.5853658536585,82.5581395348837,100,100,91.7941080544526,NA
"56",87.5,77.5,97.5,90,97,96,90,80,80,12,95.8333333333333,0,55,80,56,60.75,89.75,63.4146341463415,62.2093023255814,76.9444444444444,100,76.7019190773303,"C"
"57",92.5,100,100,100,95,99,94,99,95,12,75,100,85,95,70.4,77.4,97.75,85.3658536585366,83.7209302325581,93.3333333333333,100,91.3284032898469,"A"
"58",95,98,92.5,70,95,98,100,100,98,12,100,77.7777777777778,50,90,68.8,70.2,97.0625,82.9268292682927,74.4186046511628,89.2592592592593,100,87.6976559053381,"A-"
"59",82,100,91.5,100,100,90,100,70,96,12,50,77.7777777777778,60,95,55.2,63.9,94.9375,62.1951219512195,66.2790697674419,77.5925925925926,100,79.1289307209933,"C+"
"60",82.5,100,85,75,95,86,26,45,65,12,33.3333333333333,55.5555555555556,50,85,36.8,36,79.1875,34.1463414634146,30.2325581395349,63.5185185185185,100,57.6714356053444,"C-"
"61",90,95,100,100,100,96,100,95,100,12,66.6666666666667,94.4444444444444,75,90,44.8,63,98.25,46.3414634146341,65.1162790697674,86.4814814814815,100,77.9945846725909,"B+"
"62",87.5,77.5,100,80,85,99,100,100,85,11,66.6666666666667,55.5555555555556,25,60,38.4,40.95,92.0625,36.5853658536585,36.6279069767442,60.7407407407407,100,63.2039110260289,"C-"
"63",74,100,85,90,90,96,86,90,98,12,91.6666666666667,77.7777777777778,75,90,60.8,76.05,91.875,70.7317073170732,81.9767441860465,86.4814814814815,100,85.1752497321485,"B+"
"64",80,60,95,80,85,91,68,80,67.5,12,41.6666666666667,61.1111111111111,55,80,36.8,45,80.8125,34.1463414634146,41.8604651162791,65.3703703703704,100,61.3436901273082,"C-"
"65",91.5,97,87.5,80,90,82,90,90,98,12,58.3333333333333,72.2222222222222,55,75,51.2,39.15,90.75,56.0975609756098,34.3023255813953,68.5185185185185,100,67.2978713682486,"C-"
"66",80,95,90,80,97.5,94,73,90,85,12,58.3333333333333,66.6666666666667,57.5,100,64.8,64.35,88.9375,76.8292682926829,66.8604651162791,75,100,80.0122199376063,"C"
"67",92.5,95,100,100,95,98,70,100,100,12,91.6666666666667,61.1111111111111,60,90,66.4,73.35,97.5625,79.2682926829269,78.4883720930232,80.9259259259259,100,86.8833904487301,"B-"
"68",92.5,100,100,90,100,93,89,80,60,12,83.3333333333333,77.7777777777778,55,80,65.6,63.9,93.0625,78.0487804878049,66.2790697674419,80.3703703703704,100,82.153829094977,"B-"
"69",80,77.5,70,65,100,97,100,75,85,12,58.3333333333333,55.5555555555556,25,40,56.8,34.2,85.5625,64.6341463414634,27.906976744186,51.2962962962963,100,63.2667678987836,"D"
